iter	Logloss
0	0.584102971
1	0.4947906265
2	0.4228146786
3	0.371175504
4	0.3275667982
5	0.2912393296
6	0.2626849713
7	0.2354928481
8	0.2130813821
9	0.194873674
10	0.1789911288
11	0.1680953407
12	0.1577175655
13	0.1498062434
14	0.1416447231
15	0.1367135132
16	0.1313839232
17	0.1257118256
18	0.1217782476
19	0.1187513182
20	0.1164971207
21	0.1133170679
22	0.1108483534
23	0.1083032624
24	0.1067262516
25	0.104915672
26	0.103170853
27	0.1016882086
28	0.1005915983
29	0.09980092491
30	0.09869714269
31	0.09765561241
32	0.09651689478
33	0.09536396514
34	0.09435471172
35	0.09381284648
36	0.09301113391
37	0.0922383087
38	0.09127391422
39	0.09050757686
40	0.09007842129
41	0.08970815678
42	0.0891964446
43	0.08830430158
44	0.08749166445
45	0.08682919919
46	0.08634219263
47	0.08593084036
48	0.08560248269
49	0.08520585531
50	0.08475727417
51	0.0845461783
52	0.08439361083
53	0.08404638325
54	0.08374327485
55	0.08351789517
56	0.08312491624
57	0.08294798475
58	0.08260282022
59	0.08225440095
60	0.08208475247
61	0.08172074322
62	0.08148383397
63	0.08133012528
64	0.08109014239
65	0.08088233313
66	0.08073014905
67	0.08061040461
68	0.08026384016
69	0.08017711489
70	0.0800103644
71	0.08001031963
72	0.07974017537
73	0.07954594962
74	0.07915829945
75	0.07905761177
76	0.07905759816
77	0.07904973304
78	0.07891665611
79	0.0789166449
80	0.07891663659
81	0.07872990377
82	0.078337514
83	0.07818693555
84	0.07818449692
85	0.07818202639
86	0.07802752612
87	0.07770694012
88	0.07770519913
89	0.07770288497
90	0.07770288434
91	0.07754067571
92	0.07738600021
93	0.07738599885
94	0.07738599864
95	0.07725915469
96	0.07725909963
97	0.07725909919
98	0.07725902013
99	0.07708008108
100	0.07696910532
101	0.0769598155
102	0.0767621412
103	0.07671585578
104	0.07653736039
105	0.07635085094
106	0.07626129842
107	0.07612715304
108	0.07611885164
109	0.0758923579
110	0.07589235554
111	0.07568116283
112	0.07568110758
113	0.07566831496
114	0.0755670833
115	0.07556706438
116	0.07553956627
117	0.0752005162
118	0.07512720777
119	0.07512523737
120	0.07494934908
121	0.07494933598
122	0.07494933274
123	0.07491435691
124	0.07491434937
125	0.07465140319
126	0.07465139288
127	0.07460324995
128	0.07433016058
129	0.07433015652
130	0.0741896203
131	0.07411359286
132	0.07389590221
133	0.07384627212
134	0.07366297282
135	0.07345489553
136	0.07339487548
137	0.07339478712
138	0.07339478431
139	0.07338960415
140	0.07333705644
141	0.07325334247
142	0.0731885848
143	0.07314127356
144	0.07295700964
145	0.07295700898
146	0.07286243496
147	0.07286234768
148	0.07286226069
149	0.07286225064
150	0.07270706742
151	0.0727045655
152	0.07251847938
153	0.07215832072
154	0.07215830153
155	0.07215821847
156	0.072150789
157	0.07214802282
158	0.07214037632
159	0.07214037608
160	0.07214031829
161	0.07203860069
162	0.07182942506
163	0.07182938543
164	0.07182141916
165	0.07181951338
166	0.07181950979
167	0.07181710271
168	0.07179732346
169	0.07174325331
170	0.07166809154
171	0.07157069957
172	0.07150208532
173	0.07144749961
174	0.0714407453
175	0.07142643591
176	0.07138782683
177	0.07100118577
178	0.07087288992
179	0.07087189805
180	0.07083870174
181	0.07079235794
182	0.07076568913
183	0.07065495784
184	0.07041409439
185	0.0704140815
186	0.07041407895
187	0.0701831892
188	0.0701831872
189	0.07009885036
190	0.07009879568
191	0.07009385309
192	0.06994136876
193	0.06994135487
194	0.06993872785
195	0.06993872474
196	0.06993871699
197	0.06979478737
198	0.06976177876
199	0.06976172292
200	0.06976171639
201	0.06976167317
202	0.06970114012
203	0.06969290796
204	0.06969290514
205	0.06943057116
206	0.06943057032
207	0.06918475132
208	0.06917913098
209	0.06914883668
210	0.06899964661
211	0.06899962731
212	0.06897205354
213	0.06876893296
214	0.0687620565
215	0.06876203443
216	0.06875638138
217	0.0687469032
218	0.06874036712
219	0.06862632246
220	0.06859736064
221	0.06848123533
222	0.06835580355
223	0.06835567302
224	0.06832557021
225	0.06832551114
226	0.06829596346
227	0.06829351187
228	0.06826572025
229	0.06825228781
230	0.06825227208
231	0.06825223118
232	0.06825218806
233	0.068252159
234	0.06825215268
235	0.06824982235
236	0.06811646888
237	0.06811645304
238	0.0681088274
239	0.06797574637
240	0.06796613143
241	0.06783001218
242	0.06780701725
243	0.06773093823
244	0.06754788231
245	0.06752755367
246	0.06740068721
247	0.06738588345
248	0.06738586427
249	0.06734739239
250	0.06734560411
251	0.06731614138
252	0.06728569895
253	0.06723695897
254	0.06721581478
255	0.06719371164
256	0.06700802239
257	0.06676428052
258	0.0666556408
259	0.06653224288
260	0.06645245237
261	0.06644720088
262	0.06644717984
263	0.06644717225
264	0.06628266434
265	0.06623007548
266	0.06622825534
267	0.06615693543
268	0.06611204842
269	0.06599444536
270	0.06599444265
271	0.06598770722
272	0.06598135948
273	0.06598128354
274	0.06597929005
275	0.06592968266
276	0.06592968112
277	0.06592466001
278	0.06592317254
279	0.06591342105
280	0.06579559106
281	0.06568454047
282	0.06566051937
283	0.06565817814
284	0.06549148954
285	0.06537671686
286	0.06537228183
287	0.06530206666
288	0.06522038751
289	0.0652203805
290	0.06522036582
291	0.06520960831
292	0.06511446902
293	0.0650278491
294	0.06502784548
295	0.06492619352
296	0.06480842293
297	0.06476008323
298	0.06476001416
299	0.06457052671
